Username,Fullname,Profile URL,22 may,Historial 15 May,Historial 7 May,Provincia,Localidad,Ubicación Jodify,Cantidad Eventos,Responsable
maquinal.maquinal,Maquinal | Espacio cultural,https://www.instagram.com/maquinal.maquinal,,,,Buenos Aires,GBA,CABA | GBA,Nueva,Facu
nada_club,NADA.,https://www.instagram.com/nada_club,,,,Buenos Aires,GBA,CABA | GBA,1,Ramo
runaways.arg,Runaways,https://www.instagram.com/runaways.arg,,,,Buenos Aires,GBA,CABA | GBA,Nueva,Facu
kompaz.crew,kompaz crew,https://www.instagram.com/kompaz.crew,No,,,Córdoba,Córdoba,Córdoba,1,Vila
psymania.ar,PSYMANIA,https://www.instagram.com/psymania.ar,No,,,Córdoba,Córdoba,Córdoba,Nueva,Vila
evolutioneventrosario,EVOLUTION,https://www.instagram.com/evolutioneventrosario,No,,,Santa Fe,Rosario,Rosario,1,Vila
databari_,Data,https://www.instagram.com/databari_,,,,Río Negro,Bariloche,CABA | GBA,Nueva,Ramo
psadilla.z,,https://www.instagram.com/psadilla.z,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
tds_rave,TECHNO DONDE SEA,https://www.instagram.com/tds_rave,,,,Buenos Aires,GBA,CABA | GBA,1,Facu
presente.pro,Presente pro,https://www.instagram.com/presente.pro,No,Si,,Córdoba,Córdoba,Córdoba,1,Vila
beat21producciones,BEAT 21 PRODUCCIONES ⚡️,https://www.instagram.com/beat21producciones,No,Si,,Córdoba,Córdoba,Córdoba,1,Vila
elclubdelprogre,El Club Del Progre,https://www.instagram.com/elclubdelprogre,No,No,,Buenos Aires,GBA,CABA | GBA,Nueva,Vila
buenosairesprogressive,Buenos AIRES Progressive,https://www.instagram.com/buenosairesprogressive,,,,Buenos Aires,GBA,CABA | GBA,Nueva,Ramo
lalocandabar,La Locanda bar•cocina•libros,https://www.instagram.com/lalocandabar,,,,Uruguay,Colonia,,Nueva,Ramo
official_dessert_,Dessert,https://www.instagram.com/official_dessert_,,,,Chubut,Comodoro Rivadavia,Chubut,1,Ramo
underground.move,U.MOVE,https://www.instagram.com/underground.move,,,,Río Negro,Bariloche,Río Negro,Nueva,Ramo
agenciacrvel,𝒶𝑔𝑒𝓃𝒸𝒾𝒶 𝒸𝓇𝓋𝑒𝓁 🩸,https://www.instagram.com/agenciacrvel,,,,Buenos Aires,CABA,CABA,Nueva,Facu
micrarecordings,MICRA RECORDINGS,https://www.instagram.com/micrarecordings,No,No,,Santa Fe,Rosario,Rosario,Nueva,Vila
indiaproducciones.ba,India Producciones,https://www.instagram.com/indiaproducciones.ba,,,,Buenos Aires,CABA,CABA | GBA,2,
midnight.collective.cl,Midnight Collective,https://www.instagram.com/midnight.collective.cl,,,,Chile,Rancagua,Chile,Nueva,Facu
fpbeats,FP BEATS®,https://www.instagram.com/fpbeats,No,No,,Buenos Aires,CABA,CABA | GBA,Nueva,Vila
ocular.musicainteligente,,https://www.instagram.com/ocular.musicainteligente,,,,Buenos Aires,La Plata,La Plata,1,Facu
culture.cba,Culture,https://www.instagram.com/culture.cba,No,No,,Córdoba,Córdoba,Córdoba,Nueva,Vila
royceoficial,ROYCE CLUB,https://www.instagram.com/royceoficial,,,,Buenos Aires,La Plata,La Plata,Nueva,Facu
bruit.music,𝗯𝗿𝘂𝗶𝘁,https://www.instagram.com/bruit.music,,,,Colombia,Bogota,,Nueva,
