name,social_link,priority
7am | Tickets,https://www.instagram.com/7am.pass,
Cuarto Nativo,https://www.instagram.com/cuartonativo,
Código Nuevo Producciones,https://www.instagram.com/codigonuevo.prod,
Fiesta | Housemusic | Amor 🤍,https://www.instagram.com/bracohouse,
𝐃𝐑𝐄𝐀𝐌 𝐏𝐋𝐀𝐂𝐄 | Productora de Eventos,https://www.instagram.com/dreamplace.tdl,
ᴊᴜsᴛꜰᴇᴇʟ ᴘʀᴏᴅᴜᴄᴛɪᴏɴs,https://www.instagram.com/justfeel_ok,
JUST FEEL,https://www.instagram.com/justfeel______,
UnderBeat Session,https://www.instagram.com/underbeatsession,
Mundo Aparte,https://www.instagram.com/mundoaparte.oficial,
Skyland,https://www.instagram.com/skyland.oficial,
La Crew Ros.,https://www.instagram.com/lacrewros,
Turbo Entrada,https://www.instagram.com/turboentrada,
FrancisClub,https://www.instagram.com/francisclub__,
Magic eventos,https://www.instagram.com/magiceventosbariloche,
Recámara Producciones,https://www.instagram.com/recamaraproducciones,
VICTORIA WHYNOT,https://www.instagram.com/victoriawhynot,
German Rivera,https://www.instagram.com/germanrrivera,
AuditorioSur Eside,https://www.instagram.com/auditoriosur_eside,
privatepartybche,https://www.instagram.com/privatepartybche,
*WARRIORS*,https://www.instagram.com/warriors_productora,
Punta Music,https://www.instagram.com/punta.music,
Morocco,https://www.instagram.com/moroccocostanera,
Labia producciones,https://www.instagram.com/labia.producciones,
limbo,https://www.instagram.com/limbo.prd,
K E N Y A,https://www.instagram.com/kenya.rooftop,
Unique Community 🇦🇷,https://www.instagram.com/unique.communityba,
Francine Smith 🌈🎧🦄,https://www.instagram.com/franie.smith,
ARCANA,https://www.instagram.com/arcana.experience,
JET ( OFFICIAL SITE ),https://www.instagram.com/jetbuenosaires,
SONORA,https://www.instagram.com/sonoramusicarg,
BUHO producciones,https://www.instagram.com/buho.produ,
𝗠𝘂𝘂𝘃 𝗦𝗲𝘀𝘀𝗶𝗼𝗻𝘀,https://www.instagram.com/muuvsessions,
A Y B Å K,https://www.instagram.com/aybak.productions,
EL SEXTO,https://www.instagram.com/elsextorecords,
HIGHLIFE,https://www.instagram.com/highlifebsas,
Pampa Warro,https://www.instagram.com/pampawarro,
Ele Multiespacio,https://www.instagram.com/ele_multiespacio,
TERRA FURIA,https://www.instagram.com/terrafuria,
PX traveling experience,https://www.instagram.com/px.traveling,
Enfants,https://www.instagram.com/enfants.ba,
Moodhelpers,https://www.instagram.com/moodhelpers,
HOP OFICIAL,https://www.instagram.com/hop_oficial,
Dream Machine,https://www.instagram.com/dream.machine_label,
A.L.D.E.A. Music Experience + By DJ MAG L.A.,https://www.instagram.com/aldea.me,
Frere BA Eventos,https://www.instagram.com/frere.events,
SMOOTH (Bs.As.),https://www.instagram.com/smooth.bsas,
Diofaro,https://www.instagram.com/diofaro,
Valentina Castillo,https://www.instagram.com/eros.techno,
metaphysis ♡》,https://www.instagram.com/metaphysis_0,
Tauro Nena,https://www.instagram.com/tauronena_,
THE AFTER,https://www.instagram.com/extended.time.ba,
Astronomy,https://www.instagram.com/astronomy.oficial,
Scandalo,https://www.instagram.com/scandaloproducciones,
Urbeat,https://www.instagram.com/urbeat.techno,
Feedback Undergroove,https://www.instagram.com/feedback.undergroove,
Fizz music,https://www.instagram.com/fizz__music,
𝘉𝘌𝘓𝘖𝘕𝘎 𝙏𝙊 𝙈𝙐𝙎𝙄𝘾,https://www.instagram.com/belongto_music,
Melodic Soul,https://www.instagram.com/melodicsoul_,
𝙈𝘼𝙍𝙏𝙄𝙉 𝙃𝙐𝙏𝙉𝙄𝙆,https://www.instagram.com/fiestasdeelectronicauruguay,
FUNGI,https://www.instagram.com/fungi.techno,
Feel In The Blank,https://www.instagram.com/fitb____,
La Costa Festival,https://www.instagram.com/lacosta.festival,
Confianza,https://www.instagram.com/confianza.producciones,
Reset Club,https://www.instagram.com/resetcluub,
GO ON,https://www.instagram.com/join.go.on,
Veinticuatro Siete,https://www.instagram.com/veinticuatrosiete.prod,
• R H Y T H M I C •,https://www.instagram.com/rhythmic.oficial,
dECIBELES,https://www.instagram.com/decibelesclub,
Crossing South Producciones,https://www.instagram.com/crossingsouthpr,
𝐄𝐃𝐄𝐍,https://www.instagram.com/edenproducciones.ofc,
SOUNDAKA,https://www.instagram.com/soundakaofficial,
SEKTOR13,https://www.instagram.com/sektor13___,
Heaven,https://www.instagram.com/_heaven.ofc,
🔶GOLDEN HOUR®,https://www.instagram.com/golden.hour.ar,
MR. JONES,https://www.instagram.com/mrjones_mdp,
ONLY CLUB | NORMANDINA,https://www.instagram.com/only_normandina,
El Calamar Loco,https://www.instagram.com/elcalamarloco,
Club Quba,https://www.instagram.com/club_quba,
LB Studio,https://www.instagram.com/lbstudio.ok,
After Beach,https://www.instagram.com/samsarabeach.mdq,
MUTE ➖ Club de Mar,https://www.instagram.com/mutemardelplata,
WeCan-fest,https://www.instagram.com/wecan_fest,
EXIT MANAGEMENT & BOOKING AGENCY,https://www.instagram.com/exit.management,
CYCLES,https://www.instagram.com/cycles________,
LUST ᴍᴜsɪᴄ ᴇxᴘᴇʀɪᴇɴᴄᴇ,https://www.instagram.com/lust.experience,
OPPOSITE,https://www.instagram.com/opposite_ba,
VOLTASH - Techno en Buenos Aires,https://www.instagram.com/voltash.ciclo,
Bendito Sonido,https://www.instagram.com/bendito.arg,
𝗔𝗖𝗜𝗗 𝗟𝗘𝗠𝗢𝗡 🍋,https://www.instagram.com/acidlemon.prod,
GPS after,https://www.instagram.com/gpsafter,
F R A C T A L,https://www.instagram.com/fractal.prod,
5D💜,https://www.instagram.com/5d.prod,
ᴠᴀᴅᴏʀᴍɪ_ᴘʀᴏᴅᴜᴄᴄɪᴏɴᴇs®️,https://www.instagram.com/vadormi_producciones,
G A R D E N O F S O U N D,https://www.instagram.com/gardenofsound.music,
CLUBBING,https://www.instagram.com/clubbingofc,
,https://www.instagram.com/panter.producciones,
Bienvenidos a Casa.,https://www.instagram.com/casatonicagintoneria,
Capital Electrónica,https://www.instagram.com/capitalelectronica,
Ciclic Producciones - Bariloche,https://www.instagram.com/ciclic_community,
Valhöll,https://www.instagram.com/valholl_prod,
𝗢𝗻.𝗺𝘃𝗺𝗻𝘁,https://www.instagram.com/on.mvmnt,
FREQUENZ,https://www.instagram.com/frequenzcollective,
MID90s,https://www.instagram.com/mid90s_ba,
STAB TECHNO,https://www.instagram.com/stabtechno,
techno star,https://www.instagram.com/technostar.arg,
kook label,https://www.instagram.com/kook.label,
Chrystal Label,https://www.instagram.com/chrystal.label,
Bealive Producciones,https://www.instagram.com/bealive.prod,
Svb,https://www.instagram.com/svb_bsas,
MØRK,https://www.instagram.com/mork.techno,
Glue House,https://www.instagram.com/gluehouse_,
BlackSheep,https://www.instagram.com/blacksheep.pub,
KINDERGARDEN RECORDS,https://www.instagram.com/kindergarden.rec,
Techno Please,https://www.instagram.com/technoplease_,
LA FEM,https://www.instagram.com/lafem__ba,
KORA,https://www.instagram.com/kora.producciones,
Fusion 90 - Talento Nacional,https://www.instagram.com/fusion90_,
Green Goblin Festival,https://www.instagram.com/greengoblin.ofc,
Legs Producciones - Neptune,https://www.instagram.com/neptune_legs,
Symbiøtic 🦠,https://www.instagram.com/symbiotic.ciclo,
INERCIA GROUP,https://www.instagram.com/inerciagroup,
Groova,https://www.instagram.com/groova.arg/,
- ᴀᴍᴇ ʟᴇ ʙᴇᴀᴛ -,https://www.instagram.com/amelebeat,
Plan Out,https://www.instagram.com/planout.ar,
🏔️❄️ WINTER EDITION ❄️🏔️ 10/8 ❤️‍🔥,https://www.instagram.com/patagoniapicnic,
All in Deep,https://www.instagram.com/all.indeep,
LOOP |,https://www.instagram.com/loop_baires,
External Producciones,https://www.instagram.com/_external__,
ÁGORA GROUP,https://www.instagram.com/agora.group_,
𝗗 𝗜 𝗞 𝗘 𝗬,https://www.instagram.com/dikeyorg,
NBAproducciones,https://www.instagram.com/nbagroup_,
OESTE TECHNO,https://www.instagram.com/oeste_techno,
SAVANT,https://www.instagram.com/ciclosavant,
SAFARI,https://www.instagram.com/safariproductora,
DCG,https://www.instagram.com/detroitclassicgallery,
MYST,https://www.instagram.com/myst.lp,
BLOOM PRODUCE,https://www.instagram.com/bloom.produce,
CLUB BUENOS AIRES,https://www.instagram.com/club_baires,
Moon Travel,https://www.instagram.com/moontravel,
BUEN VIAJE PRODUCCIONES 🪐,https://www.instagram.com/buen.viaje.prod,
Martin Angrisano (ARG),https://www.instagram.com/martin.angrisano.music,
Movida Electrónica Neuquen,https://www.instagram.com/movidaelectronicanqn,
BookingTechno,https://www.instagram.com/bookingtechno,
ATTACK Rec. 🔪,https://www.instagram.com/attack.records,
𝗖𝗔𝗣-𝗣𝗿𝗼𝗱𝘂𝗰𝗰𝗶𝗼𝗻𝗲𝘀,https://www.instagram.com/capproducciones,
Issa Producciones,https://www.instagram.com/issa.productora,
Release Your Mind,https://www.instagram.com/rymmusic.ba,
suite_122,https://www.instagram.com/suite_122/,
Chucaro Salón de Eventos,https://www.instagram.com/elchucaroeventos/,
DISSONANT,https://www.instagram.com/dissonant.ofc/,
S&L,https://www.instagram.com/slowandlouder/,
BEFORE DAWN,https://www.instagram.com/beforedawn.music/,
A P R Ê S,https://www.instagram.com/aprescatedral/,
La Playa Festival,https://www.instagram.com/laplayaok/,
THE CLUB 23,https://www.instagram.com/theclub.2.3,
The Club,https://www.instagram.com/theclub_mza,
GAP Mar Del Plata,https://www.instagram.com/gapmardelplata,
